avg_arousal,avg_dominance,avg_valence,avg_wpm,dominant_speech_emotion,dominant_text_emotion,f0_mean_hz,f0_std_hz,interruptions_made,interruptions_received,loudness_dr_db,loudness_rms_med,overlap_ratio,pause_count,pause_ratio,pause_total_sec,speaker_id,speaker_name,text_emotions_full_json,text_emotions_top5_json,total_duration,voice_quality_hint,vq_cpps_db_med,vq_hnr_db_med,vq_jitter_pct_med,vq_shimmer_db_med,word_count
-0.006,-0.002,-0.036,716.8,disgust,neutral,nan,nan,0,0,0.0,-33.359,,18,0.609,11.41,Speaker_3,Speaker_28,"{""admiration"": 0.00010199495882697584, ""amusement"": 0.00011316894887271017, ""anger"": 0.00012291538169621971, ""annoyance"": 0.00039924565795882615, ""approval"": 0.0007557584509971101, ""caring"": 0.00010362635344017562, ""confusion"": 0.00019852927757920238, ""curiosity"": 0.00020228701099877207, ""desire"": 0.0009664841487492505, ""disappointment"": 0.0002604946276949499, ""disapproval"": 0.00015041346545775213, ""disgust"": 9.36937095808227e-05, ""embarrassment"": 3.1443975533895896e-05, ""excitement"": 0.00014765808922481715, ""fear"": 8.819623982606423e-05, ""gratitude"": 3.683186481131591e-05, ""grief"": 2.5306055927893808e-05, ""joy"": 9.662383225347241e-05, ""love"": 6.553027671184283e-05, ""nervousness"": 3.444359439007969e-05, ""optimism"": 0.0005919452242962865, ""pride"": 1.667273938625989e-05, ""realization"": 0.00037232069955787093, ""relief"": 2.2270172576184648e-05, ""remorse"": 2.8606046820513934e-05, ""sadness"": 0.0001702596763073698, ""surprise"": 5.287682633672543e-05, ""neutral"": 0.9947504026941867}","[{""label"": ""neutral"", ""score"": 0.9947504026941867}, {""label"": ""desire"", ""score"": 0.0009664841487492505}, {""label"": ""approval"", ""score"": 0.0007557584509971101}, {""label"": ""optimism"", ""score"": 0.0005919452242962865}, {""label"": ""annoyance"", ""score"": 0.00039924565795882615}]",18.75,,0.768,1.672,5.396,1.754,224
0.008,-0.027,-0.027,320.0,disgust,admiration,nan,nan,0,0,0.0,-28.088,,2,0.947,0.71,Speaker_608,Speaker_14,"{""admiration"": 0.9822994997493898, ""amusement"": 0.00010540564033741281, ""anger"": 0.00010484360899546163, ""annoyance"": 0.0002945014545917355, ""approval"": 0.008690980201874313, ""caring"": 0.0002210354998980486, ""confusion"": 0.00014305749108892545, ""curiosity"": 0.00013556984681662416, ""desire"": 0.00010473708897673983, ""disappointment"": 0.00021824004789852743, ""disapproval"": 0.00044350060904189867, ""disgust"": 4.7560271588630266e-05, ""embarrassment"": 2.0923656700734593e-05, ""excitement"": 0.0003225735540611647, ""fear"": 3.132523466551237e-05, ""gratitude"": 0.000687324902792266, ""grief"": 2.5470147923316345e-05, ""joy"": 0.000487523004473198, ""love"": 0.00030056325856425286, ""nervousness"": 1.187595981544298e-05, ""optimism"": 0.0006655809073421587, ""pride"": 0.00025724060652369894, ""realization"": 0.0005746660713631033, ""relief"": 7.369877078378661e-05, ""remorse"": 2.6594967306805266e-05, ""sadness"": 0.00010959857095413745, ""surprise"": 9.19583538127357e-05, ""neutral"": 0.0035041505224197643}","[{""label"": ""admiration"", ""score"": 0.9822994997493898}, {""label"": ""approval"", ""score"": 0.008690980201874313}, {""label"": ""neutral"", ""score"": 0.0035041505224197643}, {""label"": ""gratitude"", ""score"": 0.000687324902792266}, {""label"": ""optimism"", ""score"": 0.0006655809073421587}]",0.75,,0.0,0.957,3.867,1.146,4
0.005,-0.035,-0.03,80.0,disgust,surprise,nan,nan,0,0,0.0,-27.48,,1,1.007,1.51,Speaker_934,Speaker_20,"{""admiration"": 0.003386481051812283, ""amusement"": 0.0008737952668340427, ""anger"": 0.0005856288627960766, ""annoyance"": 0.0018371110080229627, ""approval"": 0.0016151862625478628, ""caring"": 0.00015175874086659666, ""confusion"": 0.0036911485714349176, ""curiosity"": 0.015591381510098208, ""desire"": 0.0004533961878645453, ""disappointment"": 0.001337745260587405, ""disapproval"": 0.0008220160004810412, ""disgust"": 0.0012691833863944727, ""embarrassment"": 0.0007900943363560968, ""excitement"": 0.006988265727504122, ""fear"": 0.0010115758304821852, ""gratitude"": 0.00037387247206952364, ""grief"": 0.00028243481193888887, ""joy"": 0.0009391622388543487, ""love"": 0.0006050106755918527, ""nervousness"": 0.00025412697053270815, ""optimism"": 0.0009017904166779266, ""pride"": 0.0001482733679067866, ""realization"": 0.004876888479842144, ""relief"": 0.0002090114337841118, ""remorse"": 0.0001211777228975097, ""sadness"": 0.0005001017833263327, ""surprise"": 0.9135380617221247, ""neutral"": 0.03684531990037039}","[{""label"": ""surprise"", ""score"": 0.9135380617221247}, {""label"": ""neutral"", ""score"": 0.03684531990037039}, {""label"": ""curiosity"", ""score"": 0.015591381510098208}, {""label"": ""excitement"", ""score"": 0.006988265727504122}, {""label"": ""realization"", ""score"": 0.004876888479842144}]",1.5,,0.0,1.026,3.62,1.731,2
0.006,-0.014,-0.019,320.0,happy,neutral,333.31,21.12,0,0,0.0,-25.661,,1,0.68,0.51,Speaker_615,Speaker_24,"{""admiration"": 7.603096805659474e-05, ""amusement"": 8.621766590239763e-05, ""anger"": 0.00011260636535618998, ""annoyance"": 0.0003916463138649075, ""approval"": 0.0006755150829262829, ""caring"": 4.876820411965557e-05, ""confusion"": 0.00011866071190947928, ""curiosity"": 5.606760170710654e-05, ""desire"": 4.1331014437925174e-05, ""disappointment"": 0.0001320487731065438, ""disapproval"": 0.00010089290956893511, ""disgust"": 6.626582467052157e-05, ""embarrassment"": 3.04784863914884e-05, ""excitement"": 6.91149079590138e-05, ""fear"": 5.8503152279661597e-05, ""gratitude"": 3.23585539437793e-05, ""grief"": 1.7214072826179316e-05, ""joy"": 7.503003633023833e-05, ""love"": 3.089615912757792e-05, ""nervousness"": 1.9488399081431032e-05, ""optimism"": 0.00010087674966602063, ""pride"": 1.4010031922341121e-05, ""realization"": 0.0004398184824118928, ""relief"": 1.7084086015939296e-05, ""remorse"": 1.5753404231034428e-05, ""sadness"": 9.850602424205478e-05, ""surprise"": 4.258549875174855e-05, ""neutral"": 0.9970322305191931}","[{""label"": ""neutral"", ""score"": 0.9970322305191931}, {""label"": ""approval"", ""score"": 0.0006755150829262829}, {""label"": ""realization"", ""score"": 0.0004398184824118928}, {""label"": ""annoyance"", ""score"": 0.0003916463138649075}, {""label"": ""disappointment"", ""score"": 0.0001320487731065438}]",0.75,,2.819,4.819,2.704,1.528,4
0.008,-0.026,-0.024,320.0,fearful,neutral,nan,nan,0,0,0.0,-27.5,,1,1.007,1.51,Speaker_875,Speaker_22,"{""admiration"": 7.63496628524196e-05, ""amusement"": 6.274682384587573e-05, ""anger"": 6.72062872696047e-05, ""annoyance"": 0.0002547565323798817, ""approval"": 0.000740111148313453, ""caring"": 5.325980479279026e-05, ""confusion"": 0.00010164429608986667, ""curiosity"": 4.8349435734091794e-05, ""desire"": 5.352866233443123e-05, ""disappointment"": 0.00017016875401841655, ""disapproval"": 0.00014001197676823658, ""disgust"": 8.189905742590642e-05, ""embarrassment"": 3.50921028429252e-05, ""excitement"": 4.98871656849888e-05, ""fear"": 5.738791383837839e-05, ""gratitude"": 3.638919869112215e-05, ""grief"": 2.149507368840358e-05, ""joy"": 6.366162997581686e-05, ""love"": 5.117053180148131e-05, ""nervousness"": 1.694384952731873e-05, ""optimism"": 9.193942031887221e-05, ""pride"": 1.3131831720134842e-05, ""realization"": 0.0004557752004588076, ""relief"": 1.8650470821488834e-05, ""remorse"": 2.8004505381307243e-05, ""sadness"": 0.00013791440554745813, ""surprise"": 2.8758592887178793e-05, ""neutral"": 0.9970437656649893}","[{""label"": ""neutral"", ""score"": 0.9970437656649893}, {""label"": ""approval"", ""score"": 0.000740111148313453}, {""label"": ""realization"", ""score"": 0.0004557752004588076}, {""label"": ""annoyance"", ""score"": 0.0002547565323798817}, {""label"": ""disappointment"", ""score"": 0.00017016875401841655}]",1.5,,0.126,2.126,5.117,1.427,8
0.007,-0.008,-0.022,80.0,disgust,neutral,nan,nan,0,0,0.0,-28.924,,1,1.013,0.76,Speaker_606,Speaker_19,"{""admiration"": 0.00015106380493048156, ""amusement"": 5.9697483858600194e-05, ""anger"": 0.00011144632627811145, ""annoyance"": 0.0003275218069714284, ""approval"": 0.0005603282279086557, ""caring"": 3.20153437683224e-05, ""confusion"": 7.600718255150918e-05, ""curiosity"": 5.724490415376337e-05, ""desire"": 2.949338053415923e-05, ""disappointment"": 0.00010341028603928803, ""disapproval"": 0.00012194485607568764, ""disgust"": 8.566664167108167e-05, ""embarrassment"": 2.54281576414144e-05, ""excitement"": 8.186202174287979e-05, ""fear"": 5.2077260944570805e-05, ""gratitude"": 4.262478462182205e-05, ""grief"": 1.3690593242619853e-05, ""joy"": 5.689017212893362e-05, ""love"": 3.9841079735790047e-05, ""nervousness"": 1.0406516221890026e-05, ""optimism"": 6.56312380834307e-05, ""pride"": 1.3566056137561966e-05, ""realization"": 0.00020036228681214892, ""relief"": 1.2022481793824742e-05, ""remorse"": 9.484398676144116e-06, ""sadness"": 5.664800280234664e-05, ""surprise"": 4.554348398261877e-05, ""neutral"": 0.9975580812206909}","[{""label"": ""neutral"", ""score"": 0.9975580812206909}, {""label"": ""approval"", ""score"": 0.0005603282279086557}, {""label"": ""annoyance"", ""score"": 0.0003275218069714284}, {""label"": ""realization"", ""score"": 0.00020036228681214892}, {""label"": ""admiration"", ""score"": 0.00015106380493048156}]",0.75,,0.0,-1.206,0.0,0.0,1
0.01,0.01,-0.024,10.0,disgust,neutral,nan,nan,0,0,0.0,-29.32,,1,1.002,6.01,Speaker_776,Speaker_28,"{""admiration"": 0.00010810756091941946, ""amusement"": 0.00012637439097393558, ""anger"": 0.00016335122966229689, ""annoyance"": 0.0002765091782928297, ""approval"": 0.0003087202210768726, ""caring"": 5.193150367192875e-05, ""confusion"": 9.292571507274773e-05, ""curiosity"": 6.239534574198395e-05, ""desire"": 4.32717534864754e-05, ""disappointment"": 0.00010930201850397967, ""disapproval"": 0.00010678001151786554, ""disgust"": 8.702108627996121e-05, ""embarrassment"": 3.0451696219884767e-05, ""excitement"": 8.320486105420264e-05, ""fear"": 8.466850724325206e-05, ""gratitude"": 3.1796356854798355e-05, ""grief"": 2.168531869433253e-05, ""joy"": 8.761681986294805e-05, ""love"": 4.477578124037915e-05, ""nervousness"": 1.868480653559941e-05, ""optimism"": 6.112487622804843e-05, ""pride"": 1.3338472885807318e-05, ""realization"": 0.00015313160874811873, ""relief"": 1.2189968430657689e-05, ""remorse"": 1.4671818497109364e-05, ""sadness"": 0.00010532343028367621, ""surprise"": 3.8814305390618424e-05, ""neutral"": 0.9976618313566302}","[{""label"": ""neutral"", ""score"": 0.9976618313566302}, {""label"": ""approval"", ""score"": 0.0003087202210768726}, {""label"": ""annoyance"", ""score"": 0.0002765091782928297}, {""label"": ""anger"", ""score"": 0.00016335122966229689}, {""label"": ""realization"", ""score"": 0.00015313160874811873}]",6.0,,0.0,-1.7,1.972,1.553,1
0.002,0.003,-0.026,26.7,disgust,neutral,nan,nan,0,0,0.0,-29.18,,1,1.004,2.26,Speaker_689,Speaker_17,"{""admiration"": 0.00010810756091941946, ""amusement"": 0.00012637439097393558, ""anger"": 0.00016335122966229689, ""annoyance"": 0.0002765091782928297, ""approval"": 0.0003087202210768726, ""caring"": 5.193150367192875e-05, ""confusion"": 9.292571507274773e-05, ""curiosity"": 6.239534574198395e-05, ""desire"": 4.32717534864754e-05, ""disappointment"": 0.00010930201850397967, ""disapproval"": 0.00010678001151786554, ""disgust"": 8.702108627996121e-05, ""embarrassment"": 3.0451696219884767e-05, ""excitement"": 8.320486105420264e-05, ""fear"": 8.466850724325206e-05, ""gratitude"": 3.1796356854798355e-05, ""grief"": 2.168531869433253e-05, ""joy"": 8.761681986294805e-05, ""love"": 4.477578124037915e-05, ""nervousness"": 1.868480653559941e-05, ""optimism"": 6.112487622804843e-05, ""pride"": 1.3338472885807318e-05, ""realization"": 0.00015313160874811873, ""relief"": 1.2189968430657689e-05, ""remorse"": 1.4671818497109364e-05, ""sadness"": 0.00010532343028367621, ""surprise"": 3.8814305390618424e-05, ""neutral"": 0.9976618313566302}","[{""label"": ""neutral"", ""score"": 0.9976618313566302}, {""label"": ""approval"", ""score"": 0.0003087202210768726}, {""label"": ""annoyance"", ""score"": 0.0002765091782928297}, {""label"": ""anger"", ""score"": 0.00016335122966229689}, {""label"": ""realization"", ""score"": 0.00015313160874811873}]",2.25,,0.0,-1.661,1.585,1.161,1
0.006,-0.01,-0.017,126.3,disgust,neutral,75.97,10.84,0,0,0.0,-29.105,,1,1.011,0.48,Speaker_889,Speaker_8,"{""admiration"": 0.00010810756091941946, ""amusement"": 0.00012637439097393558, ""anger"": 0.00016335122966229689, ""annoyance"": 0.0002765091782928297, ""approval"": 0.0003087202210768726, ""caring"": 5.193150367192875e-05, ""confusion"": 9.292571507274773e-05, ""curiosity"": 6.239534574198395e-05, ""desire"": 4.32717534864754e-05, ""disappointment"": 0.00010930201850397967, ""disapproval"": 0.00010678001151786554, ""disgust"": 8.702108627996121e-05, ""embarrassment"": 3.0451696219884767e-05, ""excitement"": 8.320486105420264e-05, ""fear"": 8.466850724325206e-05, ""gratitude"": 3.1796356854798355e-05, ""grief"": 2.168531869433253e-05, ""joy"": 8.761681986294805e-05, ""love"": 4.477578124037915e-05, ""nervousness"": 1.868480653559941e-05, ""optimism"": 6.112487622804843e-05, ""pride"": 1.3338472885807318e-05, ""realization"": 0.00015313160874811873, ""relief"": 1.2189968430657689e-05, ""remorse"": 1.4671818497109364e-05, ""sadness"": 0.00010532343028367621, ""surprise"": 3.8814305390618424e-05, ""neutral"": 0.9976618313566302}","[{""label"": ""neutral"", ""score"": 0.9976618313566302}, {""label"": ""approval"", ""score"": 0.0003087202210768726}, {""label"": ""annoyance"", ""score"": 0.0002765091782928297}, {""label"": ""anger"", ""score"": 0.00016335122966229689}, {""label"": ""realization"", ""score"": 0.00015313160874811873}]",0.475,,0.0,0.0,0.0,0.0,1
0.009,0.01,-0.018,11.4,disgust,neutral,nan,nan,0,0,0.0,-29.207,,1,1.002,5.26,Speaker_19,Speaker_12,"{""admiration"": 0.00010810756091941946, ""amusement"": 0.00012637439097393558, ""anger"": 0.00016335122966229689, ""annoyance"": 0.0002765091782928297, ""approval"": 0.0003087202210768726, ""caring"": 5.193150367192875e-05, ""confusion"": 9.292571507274773e-05, ""curiosity"": 6.239534574198395e-05, ""desire"": 4.32717534864754e-05, ""disappointment"": 0.00010930201850397967, ""disapproval"": 0.00010678001151786554, ""disgust"": 8.702108627996121e-05, ""embarrassment"": 3.0451696219884767e-05, ""excitement"": 8.320486105420264e-05, ""fear"": 8.466850724325206e-05, ""gratitude"": 3.1796356854798355e-05, ""grief"": 2.168531869433253e-05, ""joy"": 8.761681986294805e-05, ""love"": 4.477578124037915e-05, ""nervousness"": 1.868480653559941e-05, ""optimism"": 6.112487622804843e-05, ""pride"": 1.3338472885807318e-05, ""realization"": 0.00015313160874811873, ""relief"": 1.2189968430657689e-05, ""remorse"": 1.4671818497109364e-05, ""sadness"": 0.00010532343028367621, ""surprise"": 3.8814305390618424e-05, ""neutral"": 0.9976618313566302}","[{""label"": ""neutral"", ""score"": 0.9976618313566302}, {""label"": ""approval"", ""score"": 0.0003087202210768726}, {""label"": ""annoyance"", ""score"": 0.0002765091782928297}, {""label"": ""anger"", ""score"": 0.00016335122966229689}, {""label"": ""realization"", ""score"": 0.00015313160874811873}]",5.25,,0.0,-1.642,0.0,0.0,1
