start,end,speaker_id
0.04999999999999999,14.3,Speaker_3
14.3,15.05,Speaker_608
15.05,16.55,Speaker_934
16.55,17.3,Speaker_615
17.3,18.8,Speaker_875
18.8,19.55,Speaker_606
19.55,25.55,Speaker_776
25.55,27.8,Speaker_689
27.8,28.275,Speaker_889
28.275,33.525,Speaker_19
37.0,38.5,Speaker_531
38.5,39.25,Speaker_529
39.25,40.0,Speaker_619
56.625,71.67,Speaker_916
84.0,106.5,Speaker_14
106.5,108.75,Speaker_512
108.75,109.5,Speaker_777
109.5,111.75,Speaker_8
111.75,113.75,Speaker_9
113.75,114.125,Speaker_986
114.25,115.0,Speaker_764
115.0,115.75,Speaker_499
115.75,117.25,Speaker_946
117.25,118.0,Speaker_796
118.0,120.25,Speaker_987
120.25,121.75,Speaker_593
121.75,122.5,Speaker_613
122.5,124.0,Speaker_940
124.0,124.75,Speaker_978
124.75,126.25,Speaker_936
126.25,130.0,Speaker_567
130.0,132.25,Speaker_798
132.25,133.0,Speaker_983
133.0,133.75,Speaker_687
133.75,135.25,Speaker_762
135.25,136.75,Speaker_930
136.75,140.625,Speaker_747
140.625,141.375,Speaker_774
141.375,143.0,Speaker_5
143.0,143.75,Speaker_990
143.75,144.5,Speaker_865
144.5,146.0,Speaker_644
163.25,164.0,Speaker_820
164.0,164.75,Speaker_770
164.75,166.25,Speaker_638
166.25,169.04500000000002,Speaker_910
178.5,180.0,Speaker_860
180.0,182.25,Speaker_931
182.25,183.0,Speaker_681
183.0,187.5,Speaker_988
187.5,189.0,Speaker_578
189.0,194.25,Speaker_649
194.25,195.75,Speaker_629
195.75,196.625,Speaker_642
196.625,197.375,Speaker_780
197.375,198.125,Speaker_4
198.25,199.75,Speaker_564
199.75,201.25,Speaker_674
201.25,202.75,Speaker_691
202.75,203.5,Speaker_953
203.5,205.0,Speaker_734
205.0,205.75,Speaker_838
215.5,217.0,Speaker_706
217.0,224.625,Speaker_840
224.625,227.25,Speaker_902
229.25,236.0,Speaker_541
236.0,237.5,Speaker_532
237.5,239.0,Speaker_618
239.0,239.75,Speaker_547
239.75,240.5,Speaker_604
240.5,242.75,Speaker_878
242.75,245.0,Speaker_924
245.0,245.75,Speaker_810
245.75,247.25,Speaker_636
247.25,251.75,Speaker_854
251.75,252.265,Speaker_590
252.265,253.765,Speaker_30
253.765,254.14,Speaker_630
254.28,255.03,Speaker_781
255.03,255.78,Speaker_634
255.78,256.38,Speaker_582
258.76,260.76,Speaker_868
264.02,269.27,Speaker_908
269.27,270.77,Speaker_508
270.77,274.72,Speaker_891
274.72,274.99,Speaker_768
275.76,280.505,Speaker_723
280.505,281.255,Speaker_845
281.255,281.78,Speaker_976
281.78,282.25,Speaker_895
282.25,292.0,Speaker_628
292.0,292.75,Speaker_788
301.75,302.5,Speaker_876
302.5,304.0,Speaker_739
304.0,308.625,Speaker_893
308.625,312.375,Speaker_965
315.5,316.25,Speaker_885
316.25,318.5,Speaker_685
318.5,321.5,Speaker_524
321.5,323.0,Speaker_855
323.0,325.25,Speaker_903
325.25,326.0,Speaker_516
334.25,335.0,Speaker_730
335.0,336.275,Speaker_802
336.275,337.4,Speaker_833
337.4,338.0,Speaker_991
338.0,338.09000000000003,Speaker_565
338.3,339.72,Speaker_890
340.68,342.93,Speaker_921
342.93,343.68,Speaker_515
343.68,344.43,Speaker_911
344.43,345.93,Speaker_733
345.93,346.68,Speaker_941
346.68,352.68,Speaker_752
352.68,353.43,Speaker_714
353.43,355.68,Speaker_975
363.93,364.71500000000003,Speaker_982
364.71500000000003,365.46500000000003,Speaker_952
365.46500000000003,367.75,Speaker_24
367.75,369.25,Speaker_605
369.25,370.75,Speaker_800
370.75,371.5,Speaker_740
371.5,374.5,Speaker_794
374.5,375.25,Speaker_546
375.25,376.0,Speaker_847
376.0,390.25,Speaker_667
390.25,392.25,Speaker_867
392.25,393.0,Speaker_621
393.0,393.69,Speaker_935
393.69,395.0,Speaker_631
395.0,395.75,Speaker_583
407.0,408.09,Speaker_612
408.68,410.18,Speaker_662
421.045,449.045,Speaker_758
449.045,455.5,Speaker_919
455.5,456.25,Speaker_726
468.33,469.68,Speaker_554
474.45,475.95,Speaker_576
475.95,477.07,Speaker_48
477.07,477.44,Speaker_584
479.19,481.44,Speaker_892
481.44,482.94,Speaker_656
482.94,485.19,Speaker_707
485.19,486.69,Speaker_972
486.69,487.44,Speaker_960
533.04,536.5,Speaker_950
536.5,536.69,Speaker_870
537.2,540.95,Speaker_660
541.59,543.84,Speaker_849
544.44,545.94,Speaker_856
545.94,547.44,Speaker_388
547.44,548.19,Speaker_750
548.19,549.76,Speaker_773
550.35,551.85,Speaker_718
551.85,554.68,Speaker_829
556.98,561.0450000000001,Speaker_7
561.0450000000001,562.79,Speaker_926
564.62,565.61,Speaker_857
567.0,568.02,Speaker_981
568.54,570.04,Speaker_696
570.04,587.29,Speaker_603
587.29,587.59,Speaker_658
588.3,589.8,Speaker_41
589.8,589.93,Speaker_828
589.93,595.0,Speaker_661
597.31,598.81,Speaker_819
598.81,599.56,Speaker_848
599.56,615.64,Speaker_815
615.64,616.9449999999999,Speaker_954
616.9449999999999,631.95,Speaker_735
644.0,646.25,Speaker_635
646.25,646.65,Speaker_760
648.98,654.61,Speaker_7
665.57,667.07,Speaker_789
667.07,667.82,Speaker_528
667.82,668.57,Speaker_540
668.57,673.03,Speaker_717
700.47,700.94,Speaker_526
701.59,702.82,Speaker_617
703.49,704.99,Speaker_703
704.99,707.24,Speaker_744
707.24,710.24,Speaker_507
710.24,710.99,Speaker_542
710.99,717.77,Speaker_728
728.825,729.5,Speaker_648
729.5,729.65,Speaker_900
731.0,737.75,Speaker_969
737.75,740.0,Speaker_513
740.0,740.75,Speaker_743
740.75,742.25,Speaker_537
742.25,743.0,Speaker_797
743.0,744.5,Speaker_719
744.5,745.25,Speaker_622
745.25,746.0,Speaker_932
746.0,746.75,Speaker_741
746.75,749.2,Speaker_601
750.32,751.82,Speaker_586
751.82,757.0350000000001,Speaker_915
757.0350000000001,758.11,Speaker_861
763.59,767.34,Speaker_863
767.34,768.09,Speaker_851
768.09,769.48,Speaker_626
771.57,773.82,Speaker_640
773.82,774.57,Speaker_533
774.57,775.32,Speaker_966
775.32,776.82,Speaker_886
776.82,781.32,Speaker_801
781.32,783.57,Speaker_880
783.57,785.015,Speaker_984
785.015,812.89,Speaker_679
812.89,816.57,Speaker_928
816.57,817.05,Speaker_518
817.99,820.24,Speaker_824
820.24,820.31,Speaker_577
821.29,822.79,Speaker_763
822.79,823.54,Speaker_627
823.54,824.29,Speaker_922
824.29,825.04,Speaker_887
825.04,826.53,Speaker_702
827.23,829.97,Speaker_543
830.66,831.89,Speaker_729
840.95,843.72,Speaker_964
846.26,847.76,Speaker_708
847.76,848.25,Speaker_782
858.41,860.56,Speaker_598
863.22,864.72,Speaker_736
864.72,865.47,Speaker_811
865.47,869.04,Speaker_822
869.04,875.57,Speaker_539
878.73,883.43,Speaker_804
897.04,899.0,Speaker_874
899.0,899.12,Speaker_580
899.84,909.59,Speaker_451
909.59,911.09,Speaker_948
911.09,911.84,Speaker_591
911.84,919.34,Speaker_837
919.34,920.09,Speaker_273
920.09,920.84,Speaker_834
920.84,920.97,Speaker_641
922.5,924.0,Speaker_712
924.0,924.75,Speaker_979
924.75,925.5,Speaker_616
925.5,925.7950000000001,Speaker_961
925.7950000000001,927.0,Speaker_881
927.0,931.5,Speaker_753
931.5,933.0,Speaker_588
933.0,933.75,Speaker_314
933.75,934.5,Speaker_898
934.5,935.25,Speaker_562
935.25,939.0,Speaker_844
939.0,939.75,Speaker_538
939.75,942.75,Speaker_659
942.75,943.5,Speaker_468
943.5,952.48,Speaker_812
952.48,961.05,Speaker_266
961.05,962.55,Speaker_927
962.55,963.3,Speaker_784
963.3,971.55,Speaker_654
971.55,972.3,Speaker_769
972.3,972.67,Speaker_422
974.5,980.25,Speaker_906
980.25,981.375,Speaker_390
981.375,981.6,Speaker_438
982.25,986.0,Speaker_548
986.0,989.75,Speaker_790
989.75,989.83,Speaker_592
990.35,996.35,Speaker_351
996.35,997.85,Speaker_506
997.85,999.35,Speaker_882
